QuestionID | Topic Name | Subject/Section
  500 | Non-Verbal Pattern | Reasoning
  501 | Cloze Test | Verbal Ability
  502 | Cloze Test | Verbal Ability
  503 | Cloze Test | Verbal Ability
  504 | Cloze Test | Verbal Ability
  505 | Cloze Test | Verbal Ability
  506 | Cloze Test | Verbal Ability
  507 | Reading Comprehension | Verbal Ability
  508 | Reading Comprehension | Verbal Ability
  509 | Reading Comprehension | Verbal Ability
  510 | Synonyms | Verbal Ability
  511 | Synonyms | Verbal Ability
  512 | Synonyms | Verbal Ability
  513 | Synonyms | Verbal Ability
  514 | Antonyms | Verbal Ability
  515 | Antonyms | Verbal Ability
  516 | Antonyms | Verbal Ability
  517 | Antonyms | Verbal Ability
  518 | Idioms and Phrases | Verbal Ability
  519 | Idioms and Phrases | Verbal Ability
  520 | Idioms and Phrases | Verbal Ability
  521 | Idioms and Phrases | Verbal Ability
  522 | Grammar (Spellings) | Verbal Ability
  523 | Grammar (Spellings) | Verbal Ability
  524 | Grammar (Spellings) | Verbal Ability
  525 | Grammar (Spellings) | Verbal Ability
  526 | Idioms and Phrases | Verbal Ability
  527 | Idioms and Phrases | Verbal Ability
  528 | Idioms and Phrases | Verbal Ability
  529 | Idioms and Phrases | Verbal Ability
  530 | Ancient History | General Awareness
  531 | Modern History | General Awareness
  532 | Polity | General Awareness
  533 | General Science | General Awareness
  534 | Books and Authors | General Awareness
  535 | World Geography | General Awareness
  536 | Sports | General Awareness
  537 | Personalities | General Awareness
  538 | Modern History | General Awareness
  539 | Current Affairs | General Awareness
  540 | Polity | General Awareness
  541 | World Geography | General Awareness
  542 | Defence | General Awareness
  543 | World Geography | General Awareness
  544 | Modern History | General Awareness
  545 | World Geography | General Awareness
  546 | Culture | General Awareness
  547 | Profit and Loss | Numerical Ability
  548 | Number System | Numerical Ability
  549 | Problems on Trains | Numerical Ability
  550 | Time and Work | Numerical Ability
  551 | Average | Numerical Ability
  552 | Percentage | Numerical Ability
  553 | Area | Numerical Ability
  554 | Decimal Fractions | Numerical Ability
  555 | Time and Work | Numerical Ability
  556 | Ratio and Proportion | Numerical Ability
  557 | Speed, Time and Distance | Numerical Ability
  558 | Ratio and Proportion | Numerical Ability
  559 | Compound Interest | Numerical Ability
  560 | Problems on Trains | Numerical Ability
  561 | Percentage | Numerical Ability
  562 | Percentage | Numerical Ability
  563 | Simple Interest | Numerical Ability
  564 | Time and Work | Numerical Ability
  565 | Boats and Streams | Numerical Ability
  566 | Venn Diagram (Verbal) | Reasoning
  567 | Venn Diagram (Verbal) | Reasoning
  568 | Venn Diagram (Verbal) | Reasoning
  569 | Venn Diagram (Verbal) | Reasoning
  570 | Venn Diagram (Verbal) | Reasoning
  571 | Verbal Analogy | Reasoning
  572 | Verbal Analogy | Reasoning
  573 | Verbal Analogy | Reasoning
  574 | Verbal Analogy | Reasoning
  575 | Verbal Analogy | Reasoning
  576 | Verbal Classification | Reasoning
  577 | Verbal Classification | Reasoning
  578 | Verbal Classification | Reasoning
  579 | Verbal Classification | Reasoning
  580 | Verbal Classification | Reasoning
  581 | Logical Reasoning | Reasoning
  582 | Logical Reasoning | Reasoning
  583 | Logical Reasoning | Reasoning
  584 | Logical Reasoning | Reasoning
  585 | Logical Reasoning | Reasoning
  586 | Non-Verbal Series | Reasoning
  587 | Non-Verbal Series | Reasoning
  588 | Non-Verbal Series | Reasoning
  589 | Non-Verbal Series | Reasoning
  590 | Non-Verbal Analogy | Reasoning
  591 | Non-Verbal Analogy | Reasoning
  592 | Non-Verbal Analogy | Reasoning
  593 | Non-Verbal Analogy | Reasoning
  594 | Non-Verbal Classification | Reasoning
  595 | Non-Verbal Classification | Reasoning
  596 | Non-Verbal Classification | Reasoning
  597 | Non-Verbal Classification | Reasoning
  598 | Pattern Completion | Reasoning
  599 | Pattern Completion | Reasoning
  600 | Pattern Completion | Reasoning
  601 | Idioms and Phrases | Verbal Ability
  602 | Idioms and Phrases | Verbal Ability
  603 | Idioms and Phrases | Verbal Ability
  604 | One Word Substitution | Verbal Ability
  605 | Cloze Test | Verbal Ability
  606 | Cloze Test | Verbal Ability
  607 | Cloze Test | Verbal Ability
  608 | Cloze Test | Verbal Ability
  609 | Cloze Test | Verbal Ability
  610 | Cloze Test | Verbal Ability
  611 | Synonyms | Verbal Ability
  612 | Synonyms | Verbal Ability
  613 | Synonyms | Verbal Ability
  614 | Synonyms | Verbal Ability
  615 | Antonyms | Verbal Ability
  616 | Antonyms | Verbal Ability
  617 | Antonyms | Verbal Ability
  618 | Antonyms | Verbal Ability
  619 | Comprehension | Verbal Ability
  620 | Comprehension | Verbal Ability
  621 | Comprehension | Verbal Ability
  622 | Idioms and Phrases | Verbal Ability
  623 | Idioms and Phrases | Verbal Ability
  624 | Idioms and Phrases | Verbal Ability
  625 | One Word Substitution | Verbal Ability
  626 | Spelling Test | Verbal Ability
  627 | Spelling Test | Verbal Ability
  628 | Spelling Test | Verbal Ability
  629 | Spelling Test | Verbal Ability
  630 | Time and Work | Numerical Ability
  631 | Boats and Streams | Numerical Ability
  632 | Boats and Streams | Numerical Ability
  633 | Simple Interest | Numerical Ability
  634 | Compound Interest | Numerical Ability
  635 | Profit and Loss | Numerical Ability
  636 | Speed, Distance and Time | Numerical Ability
  637 | Trains | Numerical Ability
  638 | Percentage | Numerical Ability
  639 | Percentage | Numerical Ability
  640 | Average | Numerical Ability
  641 | Time and Work | Numerical Ability
  642 | Polity | General Awareness
  643 | Books and Authors | General Awareness
  644 | Books and Authors | General Awareness
  645 | Defence | General Awareness
  646 | Current Affairs | General Awareness
  647 | Sports | General Awareness
  648 | Current Affairs | General Awareness
  649 | Defence | General Awareness
  650 | Science | General Awareness
  651 | Organizations | General Awareness
  652 | Awards | General Awareness
  653 | Science | General Awareness
  654 | Organizations | General Awareness
  655 | Defence | General Awareness
  656 | Current Affairs | General Awareness
  657 | Environment | General Awareness
  658 | Sports | General Awareness
  659 | Modern History | General Awareness
  660 | Ancient History | General Awareness
  661 | Ancient History | General Awareness
  662 | Medieval History | General Awareness
  663 | Ancient History | General Awareness
  664 | Defence | General Awareness
  665 | Sports | General Awareness
  666 | Verbal Analogy | Reasoning
  667 | Verbal Analogy | Reasoning
  668 | Verbal Analogy | Reasoning
  669 | Verbal Analogy | Reasoning
  670 | Verbal Analogy | Reasoning
  671 | Venn Diagram | Reasoning
  672 | Venn Diagram | Reasoning
  673 | Venn Diagram | Reasoning
  674 | Venn Diagram | Reasoning
  675 | Venn Diagram | Reasoning
  676 | Non-Verbal Pattern Completion | Reasoning
  677 | Non-Verbal Pattern Completion | Reasoning
  678 | Non-Verbal Pattern Completion | Reasoning
  679 | Non-Verbal Pattern Completion | Reasoning
  680 | Non-Verbal Pattern Completion | Reasoning
  681 | Non-Verbal Series | Reasoning
  682 | Non-Verbal Series | Reasoning
  683 | Non-Verbal Series | Reasoning
  684 | Non-Verbal Series | Reasoning
  685 | Non-Verbal Series | Reasoning
  686 | Verbal Classification | Reasoning
  687 | Verbal Classification | Reasoning
  688 | Verbal Classification | Reasoning
  689 | Verbal Classification | Reasoning
  690 | Verbal Classification | Reasoning
  691 | Non-Verbal Classification | Reasoning
  692 | Non-Verbal Classification | Reasoning
  693 | Non-Verbal Classification | Reasoning
  694 | Non-Verbal Classification | Reasoning
  695 | Non-Verbal Classification | Reasoning
  696 | Non-Verbal Analogy | Reasoning
  697 | Non-Verbal Analogy | Reasoning
  698 | Non-Verbal Analogy | Reasoning
  699 | Non-Verbal Analogy | Reasoning
  700 | Non-Verbal Analogy | Reasoning
  701 | Idioms & Phrases | Verbal Ability
  702 | Idioms & Phrases | Verbal Ability
  703 | Idioms & Phrases | Verbal Ability
  704 | Idioms & Phrases | Verbal Ability
  705 | Idioms & Phrases | Verbal Ability
  706 | Idioms & Phrases | Verbal Ability
  707 | Idioms & Phrases | Verbal Ability
  708 | Idioms & Phrases | Verbal Ability
  709 | Spelling | Verbal Ability
  710 | Spelling | Verbal Ability
  711 | Spelling | Verbal Ability
  712 | Spelling | Verbal Ability
  713 | Spelling | Verbal Ability
  714 | Reading Comprehension | Verbal Ability
  715 | Reading Comprehension | Verbal Ability
  716 | Reading Comprehension | Verbal Ability
  717 | Synonyms | Verbal Ability
  718 | Synonyms | Verbal Ability
  719 | Synonyms | Verbal Ability
  720 | Synonyms | Verbal Ability
  721 | Antonyms | Verbal Ability
  722 | Antonyms | Verbal Ability
  723 | Antonyms | Verbal Ability
  724 | Antonyms | Verbal Ability
  725 | Cloze Test | Verbal Ability
  726 | Cloze Test | Verbal Ability
  727 | Cloze Test | Verbal Ability
  728 | Cloze Test | Verbal Ability
  729 | Cloze Test | Verbal Ability
  730 | Cloze Test | Verbal Ability
  731 | History - Medieval | General Awareness
  732 | History - Modern | General Awareness
  733 | History - Modern | General Awareness
  734 | Polity / Organizations | General Awareness
  735 | Current Affairs (2015) | General Awareness
  736 | General Science | General Awareness
  737 | Sports | General Awareness
  738 | Sports | General Awareness
  739 | Geography - World | General Awareness
  740 | General Science | General Awareness
  741 | General Science | General Awareness
  742 | Defence | General Awareness
  743 | Geography - World | General Awareness
  744 | Geography - World | General Awareness
  745 | Books & Authors | General Awareness
  746 | Books & Authors | General Awareness
  747 | General Awareness | General Awareness
  748 | Awards | General Awareness
  749 | Defence | General Awareness
  750 | Organizations | General Awareness
  751 | Awards | General Awareness
  752 | Trains | Numerical Ability
  753 | Average | Numerical Ability
  754 | Trains | Numerical Ability
  755 | Percentage | Numerical Ability
  756 | Simple Interest | Numerical Ability
  757 | Percentage | Numerical Ability
  758 | Simple Interest | Numerical Ability
  759 | Time & Work | Numerical Ability
  760 | Mixture & Alligation | Numerical Ability
  761 | Profit & Loss | Numerical Ability
  762 | Time & Work | Numerical Ability
  763 | Boats & Streams | Numerical Ability
  764 | Profit & Loss | Numerical Ability
  765 | Boats & Streams | Numerical Ability
